ir,red,heart_rate,gsr,cortisol
191353,138044,63,507,17.79
192018,138636,73,491,17.19
191255,138290,72,482,17.7
192205,138819,64,475,16.87
191963,138735,68,469,17.45
192092,138819,70,470,17.49
191571,138600,61,463,16.78
192578,138980,63,458,16.88
191973,138913,69,454,17.21
191199,138586,66,445,17.54
190162,138135,63,427,17.13
190592,138193,63,427,16.93
192133,139004,69,413,17.09
192390,139085,58,373,17.29
192166,139044,69,387,17.04
191196,138707,60,389,16.48
190208,138452,65,379,16.83
186523,135296,69,375,16.38
184664,134268,64,375,16.79
187162,135687,65,368,16.55
188215,136348,60,354,16.79
188237,136249,57,347,17.12
188523,136387,65,343,16.59
188991,136502,61,339,16.49
189115,136442,65,336,14.83
189181,136392,63,336,16.5
188975,136169,65,331,16.19
189179,136124,58,322,16.14
188839,135914,58,319,16.94
188708,135915,59,320,16.52
188583,135886,60,315,16.63
187563,135728,62,311,16.38
187585,135733,70,320,16.53
188082,135934,64,311,16.56
187687,135916,69,315,16.07
187558,136034,60,310,16.55
187907,136277,58,314,16.91
189498,136952,65,306,16.9
189604,137246,56,310,16.51
189891,137137,59,305,16.3
189785,137088,57,297,16.83
189405,137004,64,291,16.17
190693,137736,57,299,16.05
189629,137449,66,288,16.55
190526,138017,62,287,16.3
191210,138483,80,293,16.83
191234,138738,65,295,16.44
191070,138577,60,291,16.54
0,137694,57,285,16.0
190051,138390,55,273,16.11
192294,139887,68,262,16.35
194046,140886,68,266,16.72
193894,140222,55,265,16.59
193420,139666,59,263,16.25
193453,139596,71,250,16.23
189749,137588,58,254,15.94
188896,137211,62,251,16.54
189283,137729,56,245,16.29
190221,138458,57,245,15.92
189271,137951,54,251,16.01
190234,138558,61,242,16.16
189567,138306,54,251,16.36
190549,138745,58,246,15.69
190240,138860,62,251,16.08
191429,139257,55,252,16.5
191045,139128,54,243,15.78
191708,139200,63,254,16.15
191264,139024,56,245,16.31
190512,138575,59,250,15.66
189250,138081,65,208,16.14
189288,138349,55,235,16.35
189296,138434,62,241,16.14
190437,139180,64,233,15.64
191118,139605,66,240,16.43
191459,139725,65,240,15.85
191993,139944,60,234,15.51
190427,139334,55,213,15.8
190390,139481,53,207,15.83
188402,138548,55,224,15.53
187566,138235,65,231,15.78
189240,138834,60,214,15.78
188450,138496,66,211,16.19
189473,139438,58,213,15.63
190399,139874,56,217,15.59
189741,139644,65,217,15.29
188630,139286,58,213,16.07
187870,139059,55,198,15.26
187553,139088,66,186,15.35
187029,138804,55,192,15.64
187823,139141,57,192,16.01
188982,139386,57,191,15.04
189245,139422,85,198,15.77
189273,139614,63,196,15.28
189339,139570,67,192,15.22
189529,139890,63,190,15.85
190031,140045,64,190,15.66
189607,139984,55,193,15.43
189906,139802,65,185,15.34
189441,140046,58,192,15.79
189923,140130,65,187,15.27
190816,140448,61,190,15.17
191438,140500,59,186,15.18
191063,140297,63,189,15.37
191364,140382,63,180,15.86
191445,140300,66,181,15.18
191475,140289,59,176,15.27
191806,140190,57,179,15.3
191520,140211,65,177,15.57
190807,139830,62,176,15.67
190112,139598,58,176,15.64
189951,139789,64,181,14.92
189668,139914,71,175,15.31
187524,138866,52,100,14.46
187320,138496,52,116,14.47
185975,138007,57,122,14.43
185293,137805,60,132,14.31
161306,126278,125,2967,21.07
185995,138103,54,90,14.0
182292,136643,101,1931,19.92
